8, 4194304, 33554432, 1677721600.000000
16, 2097152, 33554432, 2982616177.777778
32, 1048576, 33554432, 2440322327.272727
64, 524288, 33554432, 2684354560.000000
128, 262144, 33554432, 2982616177.777778
256, 131072, 33554432, 2684354560.000000
512, 65536, 33554432, 2982616177.777778
1024, 32768, 33554432, 2982616177.777778
2048, 16384, 33554432, 2982616177.777778
4096, 8192, 33554432, 2440322327.272727
8192, 4096, 33554432, 2982616177.777778
16384, 2048, 33554432, 2684354560.000000
32768, 1024, 33554432, 2982616177.777778
65536, 512, 33554432, 2982616177.777778
131072, 256, 33554432, 2982616177.777778
262144, 128, 33554432, 2982616177.777778
524288, 64, 33554432, 2982616177.777778
1048576, 32, 33554432, 2982616177.777778
2097152, 16, 33554432, 2684354560.000000
4194304, 8, 33554432, 2684354560.000000
8388608, 4, 33554432, 2684354560.000000
16777216, 2, 33554432, 2440322327.272727
33554432, 1, 33554432, 1917396114.285714
