8, 4194304, 33554432, 1491308088.888889
16, 2097152, 33554432, 1789569706.666667
32, 1048576, 33554432, 1491308088.888889
64, 524288, 33554432, 1579032094.117647
128, 262144, 33554432, 2064888123.076923
256, 131072, 33554432, 2236962133.333333
512, 65536, 33554432, 2236962133.333333
1024, 32768, 33554432, 2440322327.272727
2048, 16384, 33554432, 2236962133.333333
4096, 8192, 33554432, 2236962133.333333
8192, 4096, 33554432, 2236962133.333333
16384, 2048, 33554432, 2236962133.333333
32768, 1024, 33554432, 2440322327.272727
65536, 512, 33554432, 2236962133.333333
131072, 256, 33554432, 2236962133.333333
262144, 128, 33554432, 2236962133.333333
524288, 64, 33554432, 2236962133.333333
1048576, 32, 33554432, 2064888123.076923
2097152, 16, 33554432, 2064888123.076923
4194304, 8, 33554432, 2064888123.076923
8388608, 4, 33554432, 1917396114.285714
16777216, 2, 33554432, 1917396114.285714
33554432, 1, 33554432, 1677721600.000000
