16,0,0,2.80E-07,1.65E-05,,2.54E-07,1.36E-05
32,0,0,4.67E-07,1.58E-05,,3.22E-07,1.07E-05
64,0,0,1.00E-06,1.88E-05,,8.33E-07,1.50E-05
128,0,0,1.50E-06,1.56E-05,,1.14E-06,1.19E-05
256,0,0,3.61E-06,2.10E-05,,2.82E-06,1.60E-05
512,0,0,5.71E-06,1.99E-05,,3.83E-06,1.32E-05
1024,0,0,1.42E-05,3.15E-05,,1.09E-05,2.40E-05
2048,0,0,2.16E-05,3.50E-05,,1.73E-05,2.79E-05
4096,0,0,6.67E-05,8.39E-05,,4.17E-05,5.36E-05
8192,0,0,8.59E-05,9.94E-05,,6.62E-05,7.64E-05
16384,0,0,0.000200381,0.000215979,,1.74E-04,1.87E-04
32768,0,0,0.000343347,0.000356806,,3.31E-04,3.44E-04
65536,0,0,0.000813308,0.000828735,,6.82E-04,6.95E-04
131072,0,0,0.001452239,0.001466453,,1.11E-03,1.12E-03
262144,0,0,0.003232902,0.003248596,,2.50E-03,2.51E-03
524288,0,0,0.005797991,0.005812157,,5.21E-03,5.23E-03
1048576,0,0,0.012716475,0.01273203,,9.77E-03,9.78E-03
2097152,0,0,0.021868992,0.021882483,,1.73E-02,1.73E-02
4194304,0,0,0.042943179,0.042957976,,3.56E-02,3.57E-02
8388608,0,0,0.074814151,0.074826933,,6.27E-02,6.27E-02
16777216,0,0,0.143379868,0.143391483,,1.23E-01,1.23E-01
33554432,0,0,0.284430689,0.284441289,,2.61E-01,2.61E-01
67108864,0,0,0.527929882,0.527940565,,4.67E-01,4.67E-01
16,0,1,2.88E-07,1.50E-05,,,
32,0,1,2.58E-07,8.48E-06,,,
64,0,1,8.64E-07,1.55E-05,,,
128,0,1,8.78E-07,9.06E-06,,,
256,0,1,3.22E-06,1.80E-05,,,
512,0,1,3.35E-06,1.15E-05,,,
1024,0,1,1.26E-05,2.74E-05,,,
2048,0,1,1.33E-05,2.15E-05,,,
4096,0,1,4.75E-05,6.15E-05,,,
8192,0,1,5.31E-05,6.14E-05,,,
16384,0,1,0.000200362,0.000215166,,,
32768,0,1,0.000546196,0.00056653,,,
65536,0,1,0.001037408,0.001056457,,,
131072,0,1,0.000855066,0.00086335,,,
262144,0,1,0.003052091,0.003066323,,,
524288,0,1,0.003474196,0.003482499,,,
1048576,0,1,0.011500214,0.011514356,,,
2097152,0,1,0.013671017,0.013679307,,,
4194304,0,1,0.042804419,0.042817872,,,
8388608,0,1,0.054636164,0.054644764,,,
16777216,0,1,0.108921513,0.108929875,,,
33554432,0,1,0.301289456,0.301304991,,,
67108864,0,1,0.434935863,0.434944333,,,
16,0,2,2.52E-07,1.30E-05,,,
32,0,2,2.46E-07,8.31E-06,,,
64,0,2,8.20E-07,1.41E-05,,,
128,0,2,8.81E-07,9.06E-06,,,
256,0,2,2.78E-06,1.56E-05,,,
512,0,2,3.36E-06,1.16E-05,,,
1024,0,2,1.08E-05,2.37E-05,,,
2048,0,2,2.51E-05,3.99E-05,,,
4096,0,2,2.66E-05,3.48E-05,,,
8192,0,2,8.59E-05,9.88E-05,,,
16384,0,2,0.000200392,0.000215241,,,
32768,0,2,0.000343485,0.000356281,,,
65536,0,2,0.000433451,0.00044176,,,
131072,0,2,0.001457167,0.001470797,,,
262144,0,2,0.001703469,0.001711785,,,
524288,0,2,0.006078829,0.006092472,,,
1048576,0,2,0.006838124,0.006846563,,,
2097152,0,2,0.02329476,0.02330901,,,
4194304,0,2,0.027287895,0.027296665,,,
8388608,0,2,0.075141719,0.075154296,,,
16777216,0,2,0.108930941,0.10893935,,,
33554432,0,2,0.284481842,0.284492307,,,
67108864,0,2,0.450131114,0.450143634,,,
16,0,3,1.97E-07,1.06E-05,,,
32,0,3,2.48E-07,8.31E-06,,,
64,0,3,7.60E-07,1.35E-05,,,
128,0,3,8.87E-07,9.05E-06,,,
256,0,3,2.77E-06,1.54E-05,,,
512,0,3,3.37E-06,1.15E-05,,,
1024,0,3,1.03E-05,2.25E-05,,,
2048,0,3,1.33E-05,2.14E-05,,,
4096,0,3,4.10E-05,5.32E-05,,,
8192,0,3,5.30E-05,6.11E-05,,,
16384,0,3,0.000163932,0.000176146,,,
32768,0,3,0.000212089,0.000220237,,,
65536,0,3,0.00069497,0.000707796,,,
131072,0,3,0.000901932,0.000910184,,,
262144,0,3,0.002755112,0.002767887,,,
524288,0,3,0.00346237,0.003470571,,,
1048576,0,3,0.010935363,0.010948265,,,
2097152,0,3,0.013646602,0.013654905,,,
4194304,0,3,0.037940891,0.037953135,,,
8388608,0,3,0.054453507,0.054461868,,,
16777216,0,3,0.142633698,0.142644585,,,
33554432,0,3,0.21750312,0.217511574,,,
67108864,0,3,0.486702822,0.486720353,,,
16,0,4,2.52E-07,1.29E-05,,,
32,0,4,3.91E-07,1.24E-05,,,
64,0,4,7.17E-07,1.29E-05,,,
128,0,4,1.56E-06,1.68E-05,,,
256,0,4,1.71E-06,1.00E-05,,,
512,0,4,3.36E-06,1.15E-05,,,
1024,0,4,6.67E-06,1.49E-05,,,
2048,0,4,1.33E-05,2.15E-05,,,
4096,0,4,2.65E-05,3.48E-05,,,
8192,0,4,5.30E-05,6.12E-05,,,
16384,0,4,0.000106056,0.000114237,,,
32768,0,4,0.000212076,0.000220283,,,
65536,0,4,0.000430803,0.000439109,,,
131072,0,4,0.000864775,0.000873658,,,
262144,0,4,0.00173929,0.001747731,,,
524288,0,4,0.007256741,0.007273436,,,
1048576,0,4,0.006866056,0.006874922,,,
2097152,0,4,0.013811156,0.013819493,,,
