8, 4194304, 33554432, 3355443200.000000
16, 2097152, 33554432, 3158064188.235294
32, 1048576, 33554432, 3016128719.101124
64, 524288, 33554432, 3085465011.494253
128, 262144, 33554432, 2711469252.525252
256, 131072, 33554432, 2917776695.652174
512, 65536, 33554432, 2711469252.525252
1024, 32768, 33554432, 2855696340.425532
2048, 16384, 33554432, 3050402909.090910
4096, 8192, 33554432, 2739137306.122449
8192, 4096, 33554432, 3085465011.494253
16384, 2048, 33554432, 3195660190.476190
32768, 1024, 33554432, 3016128719.101124
65536, 512, 33554432, 3397917164.556962
131072, 256, 33554432, 3397917164.556962
262144, 128, 33554432, 3532045473.684211
524288, 64, 33554432, 2657776792.079208
1048576, 32, 33554432, 2711469252.525252
2097152, 16, 33554432, 2581110153.846154
4194304, 8, 33554432, 3050402909.090910
8388608, 4, 33554432, 2711469252.525252
16777216, 2, 33554432, 2917776695.652174
33554432, 1, 33554432, 2097152000.000000
