PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME,SPEEDUP
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,2,0.168550162,0.168562946,1.99E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,2,0.334741384,0.334754526,2.00E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,2,0.669844643,0.669857022,1.99E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,2,1.331620874,1.331633274,2.02E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,8.30E-05,9.57E-05,8.67E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,6.98E-05,8.16E-05,8.52E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,8.10E-05,9.47E-05,7.36E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.0009186,0.000932237,7.07E-02
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.000393969,0.000406035,1.70E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.000251759,0.000263769,2.82E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,8.07E-05,9.30E-05,9.49E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,4,0.000125617,0.000137478,7.32E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,4,0.000439489,0.000451758,2.29E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,4,0.000112096,0.000124179,1.26E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,4,0.00015682,0.000169088,1.48E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,4,0.000287485,0.000299516,1.43E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,4,0.000717439,0.000729406,1.07E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,4,0.000769219,0.000781738,1.92E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,4,0.002272491,0.002284949,1.22E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,4,0.002923156,0.002934861,1.88E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,4,0.00635259,0.006364463,1.72E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,4,0.011941532,0.011960031,1.79E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,4,0.022855804,0.022868443,1.87E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,4,0.048407683,0.048420186,1.74E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,4,0.094852128,0.094866764,1.78E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,4,0.193204252,0.193216643,1.73E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,4,0.361619788,0.361631745,1.85E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,4,0.723315152,0.723327462,1.84E+00
