PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_BLOCK,LAB207,4,1.07E-06,1.67E-05
MATMUL_BLOCK,LAB207,8,3.65E-06,1.92E-05
MATMUL_BLOCK,LAB207,16,2.24E-05,4.31E-05
MATMUL_BLOCK,LAB207,32,0.000158877,0.00018982
MATMUL_BLOCK,LAB207,64,0.001240743,0.001317006
MATMUL_BLOCK,LAB207,128,0.008693786,0.008954213
MATMUL_BLOCK,LAB207,256,0.055267412,0.056124994
MATMUL_BLOCK,LAB207,512,0.405550256,0.408465956
MATMUL_BLOCK,LAB207,1024,3.401932851,3.413503652
MATMUL_BLOCK,CLUSTER,4,1.11E-06,6.60E-05
MATMUL_BLOCK,CLUSTER,8,4.47E-06,7.02E-05
MATMUL_BLOCK,CLUSTER,16,2.68E-05,9.25E-05
MATMUL_BLOCK,CLUSTER,32,0.000195297,0.000277541
MATMUL_BLOCK,CLUSTER,64,0.001672628,0.001821687
MATMUL_BLOCK,CLUSTER,128,0.012839245,0.013196362
MATMUL_BLOCK,CLUSTER,256,0.084636969,0.085802949
MATMUL_BLOCK,CLUSTER,512,0.5825653,0.587444051
MATMUL_BLOCK,CLUSTER,1024,3.84329041,3.861071933
